"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","64.0","633.0","312.0","945.0","310900.0","526017.0","1166518.0","39252.0","56943.0","50.0","1262763.0","661847.0"
"201和歌山市","29.0","382.0","182.0","564.0","201471.0","341457.0","721296.0","17911.0","46905.0","50.0","786162.0","407745.0"
"202海南市","4.0","47.0","14.0","61.0","21860.0","39153.0","86612.0","-","43.0","-","86655.0","42170.0"
"203橋本市","3.0","5.0","8.0","13.0","1678.0","1523.0","4558.0","-","-","-","4558.0","2832.0"
"204有田市","1.0","1.0","3.0","4.0","χ","χ","χ","-","-","-","χ","χ"
"205御坊市","1.0","6.0","2.0","8.0","χ","χ","χ","-","-","-","χ","χ"
"206田辺市","7.0","55.0","20.0","75.0","26581.0","57297.0","124132.0","10747.0","917.0","-","135796.0","73226.0"
"207新宮市","1.0","3.0","1.0","4.0","χ","χ","χ","χ","-","-","χ","χ"
"208紀の川市","6.0","21.0","22.0","43.0","6972.0","11093.0","23931.0","2848.0","-","-","26779.0","14633.0"
"209岩出市","5.0","16.0","19.0","35.0","6765.0","14035.0","11931.0","6218.0","9078.0","-","27227.0","12306.0"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","2.0","6.0","7.0","13.0","χ","χ","χ","-","-","-","χ","χ"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","1.0","59.0","27.0","86.0","χ","χ","χ","-","-","-","χ","χ"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"392日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"401白浜町","1.0","4.0","1.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"404上富田町","1.0","21.0","3.0","24.0","χ","χ","χ","-","-","-","χ","χ"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","1.0","4.0","1.0","5.0","χ","χ","χ","χ","-","-","χ","χ"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","1.0","3.0","2.0","5.0","χ","χ","χ","χ","-","-","χ","χ"
