"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","31.0","979.0","333.0","1312.0","475492.0","3860422.0","4769731.0","651299.0","648225.0","-","6069255.0","1874657.0"
"201和歌山市","3.0","50.0","24.0","74.0","18120.0","346248.0","48883.0","-","339829.0","-","388712.0","33354.0"
"202海南市","6.0","446.0","140.0","586.0","226049.0","2080121.0","2693518.0","393600.0","237208.0","-","3324326.0","1078073.0"
"203橋本市","-","-","-","-","-","-","-","-","-","-","-","-"
"204有田市","3.0","43.0","55.0","98.0","25098.0","38481.0","88966.0","2800.0","-","-","91766.0","47980.0"
"205御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"206田辺市","4.0","13.0","15.0","28.0","8437.0","13545.0","22496.0","159.0","8795.0","-","31450.0","16589.0"
"207新宮市","1.0","9.0","6.0","15.0","χ","χ","χ","χ","χ","-","χ","χ"
"208紀の川市","4.0","283.0","30.0","313.0","139587.0","1033582.0","1368780.0","247259.0","26536.0","-","1642575.0","525073.0"
"209岩出市","-","-","-","-","-","-","-","-","-","-","-","-"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","3.0","51.0","24.0","75.0","23286.0","228295.0","348311.0","7383.0","2759.0","-","358453.0","105078.0"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","1.0","16.0","5.0","21.0","χ","χ","χ","-","-","-","χ","χ"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","2.0","32.0","20.0","52.0","χ","χ","χ","-","-","-","χ","χ"
"392日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"401白浜町","1.0","9.0","3.0","12.0","χ","χ","χ","-","-","-","χ","χ"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","1.0","16.0","1.0","17.0","χ","χ","χ","-","χ","-","χ","χ"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","1.0","5.0","9.0","14.0","χ","χ","χ","χ","-","-","χ","χ"
"428串本町","1.0","6.0","1.0","7.0","χ","χ","χ","χ","χ","-","χ","χ"
