"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","160.0","2620.0","584.0","3204.0","1214636.0","4672416.0","7003283.0","870140.0","335328.0","-","8208751.0","3165440.0"
"201和歌山市","67.0","1010.0","223.0","1233.0","461626.0","1125132.0","1325084.0","537339.0","219115.0","-","2081538.0","872040.0"
"202海南市","9.0","255.0","56.0","311.0","139100.0","566729.0","1447594.0","38408.0","-","-","1486002.0","831277.0"
"203橋本市","10.0","131.0","16.0","147.0","53499.0","101870.0","140757.0","58313.0","2.0","-","199072.0","90133.0"
"204有田市","6.0","59.0","16.0","75.0","22070.0","162096.0","190064.0","3880.0","41181.0","-","235125.0","67334.0"
"205御坊市","5.0","86.0","14.0","100.0","41931.0","395652.0","575022.0","6674.0","-","-","581696.0","163555.0"
"206田辺市","6.0","104.0","17.0","121.0","40253.0","98449.0","169145.0","28773.0","8926.0","-","206844.0","100638.0"
"207新宮市","2.0","11.0","1.0","12.0","χ","χ","χ","χ","-","-","χ","χ"
"208紀の川市","19.0","298.0","65.0","363.0","139793.0","592839.0","937838.0","46004.0","5590.0","-","989432.0","326790.0"
"209岩出市","5.0","35.0","13.0","48.0","19514.0","38126.0","81891.0","533.0","100.0","-","82524.0","41416.0"
"304紀美野町","2.0","17.0","3.0","20.0","χ","χ","χ","χ","-","-","χ","χ"
"341かつらぎ町","4.0","77.0","35.0","112.0","43004.0","147176.0","233095.0","10460.0","-","-","243555.0","79308.0"
"343九度山町","2.0","7.0","11.0","18.0","χ","χ","χ","χ","χ","-","χ","χ"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","2.0","13.0","6.0","19.0","χ","χ","χ","χ","-","-","χ","χ"
"362広川町","1.0","23.0","12.0","35.0","χ","χ","χ","-","-","-","χ","χ"
"366有田川町","8.0","286.0","67.0","353.0","124165.0","584550.0","631356.0","115433.0","58560.0","-","805349.0","199720.0"
"381美浜町","1.0","5.0","2.0","7.0","χ","χ","χ","-","-","-","χ","χ"
"382日高町","2.0","20.0","4.0","24.0","χ","χ","χ","χ","χ","-","χ","χ"
"383由良町","2.0","107.0","7.0","114.0","χ","χ","χ","χ","χ","-","χ","χ"
"390印南町","2.0","55.0","11.0","66.0","χ","χ","χ","χ","χ","-","χ","χ"
"391みなべ町","1.0","3.0","1.0","4.0","χ","χ","χ","-","-","-","χ","χ"
"392日高川町","2.0","10.0","2.0","12.0","χ","χ","χ","-","χ","-","χ","χ"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","2.0","8.0","2.0","10.0","χ","χ","χ","-","-","-","χ","χ"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
