"従業者規模","事業所数","従業者数","製造品出荷額等","付加価値額"
"広川町","14.0","285.0","652012.0","199311.0"
"広川町_  4～  9人","7.0","50.0","119089.0","32474.0"
"広川町_ 10～ 19人","2.0","27.0","χ","χ"
"広川町_ 20～ 29人","1.0","24.0","χ","χ"
"広川町_ 30～ 99人","4.0","184.0","402115.0","138477.0"
"広川町_100～299人","-","-","-","-"
"広川町_300人以上","-","-","-","-"
"有田川町","35.0","1399.0","3017643.0","906957.0"
"有田川町_  4～  9人","12.0","74.0","103533.0","54689.0"
"有田川町_ 10～ 19人","7.0","99.0","279857.0","63058.0"
"有田川町_ 20～ 29人","4.0","91.0","178232.0","44206.0"
"有田川町_ 30～ 99人","9.0","596.0","1687995.0","411901.0"
"有田川町_100～299人","3.0","539.0","768026.0","333103.0"
"有田川町_300人以上","-","-","-","-"
"美浜町","8.0","140.0","425000.0","124043.0"
"美浜町_  4～  9人","4.0","23.0","74888.0","26743.0"
"美浜町_ 10～ 19人","-","-","-","-"
"美浜町_ 20～ 29人","2.0","54.0","χ","χ"
"美浜町_ 30～ 99人","2.0","63.0","χ","χ"
"美浜町_100～299人","-","-","-","-"
"美浜町_300人以上","-","-","-","-"
"日高町","12.0","156.0","277917.0","150762.0"
"日高町_  4～  9人","6.0","41.0","74407.0","47506.0"
"日高町_ 10～ 19人","3.0","37.0","58101.0","27204.0"
"日高町_ 20～ 29人","2.0","44.0","χ","χ"
"日高町_ 30～ 99人","1.0","34.0","χ","χ"
"日高町_100～299人","-","-","-","-"
"日高町_300人以上","-","-","-","-"
"由良町","13.0","482.0","1638230.0","694339.0"
"由良町_  4～  9人","5.0","23.0","14978.0","7071.0"
"由良町_ 10～ 19人","4.0","58.0","118611.0","57122.0"
"由良町_ 20～ 29人","1.0","23.0","χ","χ"
"由良町_ 30～ 99人","1.0","81.0","χ","χ"
"由良町_100～299人","2.0","297.0","χ","χ"
"由良町_300人以上","-","-","-","-"
"印南町","15.0","604.0","1883633.0","690485.0"
"印南町_  4～  9人","7.0","47.0","48224.0","31471.0"
"印南町_ 10～ 19人","4.0","58.0","38341.0","17437.0"
"印南町_ 20～ 29人","-","-","-","-"
"印南町_ 30～ 99人","2.0","86.0","χ","χ"
"印南町_100～299人","2.0","413.0","χ","χ"
"印南町_300人以上","-","-","-","-"
"みなべ町","73.0","1589.0","2884898.0","994003.0"
