"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","72.0","3878.0","1082.0","4960.0","2792844.0","1.7041097E7","3.2934152E7","643354.0","548280.0","-","3.4125786E7","1.4635682E7"
"201和歌山市","43.0","3139.0","538.0","3677.0","2303517.0","1.4171984E7","2.8552503E7","640962.0","245797.0","-","2.9439262E7","1.3112293E7"
"202海南市","5.0","151.0","103.0","254.0","94464.0","695147.0","1221006.0","195.0","4709.0","-","1225910.0","418884.0"
"203橋本市","4.0","71.0","51.0","122.0","44825.0","108865.0","273913.0","-","4536.0","-","278449.0","137673.0"
"204有田市","4.0","107.0","148.0","255.0","71314.0","470833.0","681141.0","602.0","91470.0","-","773213.0","275984.0"
"205御坊市","4.0","78.0","20.0","98.0","58203.0","273086.0","529887.0","-","-","-","529887.0","228652.0"
"206田辺市","-","-","-","-","-","-","-","-","-","-","-","-"
"207新宮市","1.0","11.0","2.0","13.0","χ","χ","χ","-","χ","-","χ","χ"
"208紀の川市","3.0","47.0","33.0","80.0","22245.0","300054.0","175989.0","1595.0","186429.0","-","364013.0","54840.0"
"209岩出市","1.0","5.0","2.0","7.0","χ","χ","χ","-","χ","-","χ","χ"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","2.0","80.0","165.0","245.0","χ","χ","χ","-","-","-","χ","χ"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","1.0","34.0","4.0","38.0","χ","χ","χ","-","-","-","χ","χ"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","1.0","23.0","11.0","34.0","χ","χ","χ","-","-","-","χ","χ"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","2.0","126.0","4.0","130.0","χ","χ","χ","-","-","-","χ","χ"
"392日高川町","1.0","6.0","1.0","7.0","χ","χ","χ","-","χ","-","χ","χ"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
