"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","9.0","897.0","55.0","952.0","635747.0","64721404.0","72788124.0","133962.0","405958.0","2576.0","73330620.0","-791336.0"
"201和歌山市","2.0","101.0","4.0","105.0","χ","χ","χ","-","χ","-","χ","χ"
"202海南市","5.0","322.0","27.0","349.0","186692.0","6541024.0","7279207.0","133962.0","268657.0","2576.0","7684402.0","1109377.0"
"203橋本市","-","-","-","-","-","-","-","-","-","-","-","-"
"204有田市","1.0","467.0","23.0","490.0","χ","χ","χ","-","χ","-","χ","χ"
"205御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"206田辺市","-","-","-","-","-","-","-","-","-","-","-","-"
"207新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"208紀の川市","1.0","7.0","1.0","8.0","χ","χ","χ","-","χ","-","χ","χ"
"209岩出市","-","-","-","-","-","-","-","-","-","-","-","-"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"392日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
