"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","現金給与総      額（万円）","原   材   料使 用 額 等（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　（万円）","従業者規　模"
"24　金属_ 10～ 19人","50.0","536.0","128.0","664.0","7.0","3.0","10.0","674.0","222148.0","473430.0","670001.0","284510.0","1342.0","-","955853.0","450084.0"," 10～ 19人"
"24　金属_ 20～ 29人","17.0","318.0","85.0","403.0","-","-","-","403.0","132307.0","223798.0","290400.0","159779.0","46451.0","-","496630.0","254516.0"," 20～ 29人"
"24　金属_ 30～ 99人","29.0","1232.0","261.0","1493.0","-","-","-","1493.0","χ","χ","χ","300112.0","268079.0","-","χ","χ"," 30～ 99人"
"24　金属_100～299人","2.0","226.0","14.0","240.0","-","-","-","240.0","χ","χ","χ","-","-","-","χ","χ","100～299人"
"24　金属_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"25　は用","61.0","2762.0","538.0","3300.0","1.0","-","1.0","3301.0","1569687.0","7736048.0","2.2759203E7","516526.0","82202.0","30.0","2.3357961E7","1.445033E7","25　は用"
"25　は用_  4～  9人","23.0","121.0","40.0","161.0","1.0","-","1.0","162.0","56189.0","103298.0","153610.0","28694.0","22957.0","30.0","205291.0","95141.0","  4～  9人"
"25　は用_ 10～ 19人","18.0","191.0","45.0","236.0","-","-","-","236.0","χ","χ","χ","χ","22828.0","-","χ","χ"," 10～ 19人"
"25　は用_ 20～ 29人","1.0","22.0","3.0","25.0","-","-","-","25.0","χ","χ","χ","χ","-","-","χ","χ"," 20～ 29人"
"25　は用_ 30～ 99人","12.0","448.0","136.0","584.0","-","-","-","584.0","257571.0","759271.0","1238345.0","115471.0","36417.0","-","1390233.0","527169.0"," 30～ 99人"
"25　は用_100～299人","5.0","594.0","100.0","694.0","-","-","-","694.0","χ","χ","χ","χ","-","-","χ","χ","100～299人"
"25　は用_300人以上","2.0","1386.0","214.0","1600.0","-","-","-","1600.0","χ","χ","χ","χ","-","-","χ","χ","300人以上 "
"26　生産","108.0","3469.0","806.0","4275.0","6.0","2.0","8.0","4283.0","2090865.0","5533974.0","9901979.0","442311.0","247072.0","36.0","1.0591398E7","4601575.0","26　生産"
"26　生産_  4～  9人","45.0","223.0","52.0","275.0","4.0","2.0","6.0","281.0","103587.0","235075.0","406580.0","60180.0","12386.0","-","479146.0","227679.0","  4～  9人"
"26　生産_ 10～ 19人","20.0","236.0","44.0","280.0","2.0","-","2.0","282.0","116032.0","607876.0","891605.0","57339.0","22687.0","-","971631.0","340693.0"," 10～ 19人"
"26　生産_ 20～ 29人","13.0","302.0","33.0","335.0","-","-","-","335.0","153239.0","471591.0","651185.0","154727.0","7829.0","-","813741.0","319211.0"," 20～ 29人"
"26　生産_ 30～ 99人","23.0","978.0","153.0","1131.0","-","-","-","1131.0","478222.0","1458740.0","2082491.0","169920.0","140359.0","-","2392770.0","840518.0"," 30～ 99人"
"26　生産_100～299人","6.0","711.0","213.0","924.0","-","-","-","924.0","χ","χ","χ","145.0","63811.0","36.0","χ","χ","100～299人"
"26　生産_300人以上","1.0","1019.0","311.0","1330.0","-","-","-","1330.0","χ","χ","χ","-","-","-","χ","χ","300人以上 "
"27　業務","10.0","648.0","270.0","918.0","2.0","-","2.0","920.0","387224.0","534061.0","1309924.0","4964.0","26162.0","-","1341050.0","763961.0","27　業務"
"27　業務_  4～  9人","2.0","3.0","5.0","8.0","2.0","-","2.0","10.0","χ","χ","χ","χ","χ","-","χ","χ","  4～  9人"
"27　業務_ 10～ 19人","1.0","12.0","6.0","18.0","-","-","-","18.0","χ","χ","χ","χ","-","-","χ","χ"," 10～ 19人"
"27　業務_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"," 20～ 29人"
"27　業務_ 30～ 99人","4.0","145.0","37.0","182.0","-","-","-","182.0","48704.0","147263.0","199316.0","3364.0","13908.0","-","216588.0","68021.0"," 30～ 99人"
"27　業務_100～299人","2.0","219.0","90.0","309.0","-","-","-","309.0","χ","χ","χ","-","χ","-","χ","χ","100～299人"
"27　業務_300人以上","1.0","269.0","132.0","401.0","-","-","-","401.0","χ","χ","χ","-","χ","-","χ","χ","300人以上 "
"28　電子","10.0","614.0","307.0","921.0","2.0","1.0","3.0","924.0","340478.0","869073.0","1224521.0","5790.0","90705.0","-","1321016.0","400123.0","28　電子"
"28　電子_  4～  9人","1.0","2.0","2.0","4.0","-","-","-","4.0","χ","χ","χ","-","-","-","χ","χ","  4～  9人"
"28　電子_ 10～ 19人","4.0","11.0","37.0","48.0","2.0","1.0","3.0","51.0","χ","χ","χ","5790.0","-","-","χ","χ"," 10～ 19人"
"28　電子_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"," 20～ 29人"
"28　電子_ 30～ 99人","1.0","80.0","18.0","98.0","-","-","-","98.0","χ","χ","χ","-","χ","-","χ","χ"," 30～ 99人"
"28　電子_100～299人","4.0","521.0","250.0","771.0","-","-","-","771.0","χ","χ","χ","-","χ","-","χ","χ","100～299人"
"28　電子_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"29　電気","32.0","747.0","559.0","1306.0","2.0","1.0","3.0","1309.0","416401.0","689800.0","1359775.0","298255.0","34448.0","-","1692478.0","913030.0","29　電気"
"29　電気_  4～  9人","10.0","29.0","31.0","60.0","1.0","-","1.0","61.0","16068.0","26167.0","55995.0","4891.0","4.0","-","60890.0","32391.0","  4～  9人"
"29　電気_ 10～ 19人","5.0","31.0","42.0","73.0","1.0","1.0","2.0","75.0","20462.0","29769.0","59036.0","5579.0","5390.0","-","70005.0","37534.0"," 10～ 19人"
"29　電気_ 20～ 29人","4.0","59.0","40.0","99.0","-","-","-","99.0","30374.0","69360.0","91942.0","30222.0","10813.0","-","132977.0","59344.0"," 20～ 29人"
"29　電気_ 30～ 99人","10.0","362.0","252.0","614.0","-","-","-","614.0","188975.0","293158.0","512010.0","257563.0","18241.0","-","787814.0","459162.0"," 30～ 99人"
"29　電気_100～299人","3.0","266.0","194.0","460.0","-","-","-","460.0","160522.0","271346.0","640792.0","-","-","-","640792.0","324599.0","100～299人"
"29　電気_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"30　情報","4.0","179.0","139.0","318.0","-","-","-","318.0","121778.0","41540.0","8353.0","247835.0","35359.0","-","291547.0","222258.0","30　情報"
"30　情報_  4～  9人","1.0","8.0","1.0","9.0","-","-","-","9.0","χ","χ","χ","χ","-","-","χ","χ","  4～  9人"
"30　情報_ 10～ 19人","1.0","1.0","12.0","13.0","-","-","-","13.0","χ","χ","-","χ","χ","-","χ","χ"," 10～ 19人"
