"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","108.0","3475.0","808.0","4283.0","2090865.0","5533974.0","9901979.0","442311.0","247072.0","36.0","10591398.0","4601575.0"
"201和歌山市","59.0","2203.0","503.0","2706.0","1473114.0","3761871.0","7123448.0","313408.0","47209.0","36.0","7484101.0","3424402.0"
"202海南市","3.0","76.0","4.0","80.0","30952.0","13983.0","13000.0","45095.0","1500.0","-","59595.0","42296.0"
"203橋本市","4.0","75.0","14.0","89.0","41963.0","215683.0","295617.0","29253.0","10741.0","-","335611.0","120598.0"
"204有田市","4.0","21.0","5.0","26.0","8670.0","28933.0","46995.0","-","5044.0","-","52039.0","21555.0"
"205御坊市","2.0","59.0","6.0","65.0","χ","χ","χ","-","χ","-","χ","χ"
"206田辺市","2.0","11.0","1.0","12.0","χ","χ","χ","-","χ","-","χ","χ"
"207新宮市","1.0","5.0","2.0","7.0","χ","χ","χ","χ","χ","-","χ","χ"
"208紀の川市","15.0","388.0","72.0","460.0","175242.0","371627.0","706547.0","47861.0","391.0","-","754799.0","337925.0"
"209岩出市","3.0","63.0","13.0","76.0","29654.0","55950.0","115320.0","3200.0","-","-","118520.0","56645.0"
"304紀美野町","3.0","49.0","5.0","54.0","24720.0","36067.0","79376.0","1130.0","4969.0","-","85475.0","46126.0"
"341かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"362広川町","1.0","26.0","6.0","32.0","χ","χ","χ","χ","-","-","χ","χ"
"366有田川町","1.0","124.0","12.0","136.0","χ","χ","χ","-","χ","-","χ","χ"
"381美浜町","1.0","5.0","-","5.0","χ","χ","χ","-","-","-","χ","χ"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","3.0","39.0","13.0","52.0","21271.0","29290.0","65080.0","-","2478.0","-","67558.0","40720.0"
"391みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"392日高川町","3.0","171.0","27.0","198.0","76648.0","198313.0","394878.0","-","-","-","394878.0","177821.0"
"401白浜町","1.0","127.0","120.0","247.0","χ","χ","χ","-","χ","-","χ","χ"
"404上富田町","1.0","24.0","5.0","29.0","χ","χ","χ","-","-","-","χ","χ"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","1.0","9.0","-","9.0","χ","χ","χ","χ","χ","-","χ","χ"
