"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","10.0","650.0","270.0","920.0","387224.0","534061.0","1309924.0","4964.0","26162.0","-","1341050.0","763961.0"
"201和歌山市","3.0","284.0","139.0","423.0","198070.0","92109.0","582268.0","-","9091.0","-","591359.0","471200.0"
"202海南市","-","-","-","-","-","-","-","-","-","-","-","-"
"203橋本市","1.0","2.0","4.0","6.0","χ","χ","-","χ","χ","-","χ","χ"
"204有田市","-","-","-","-","-","-","-","-","-","-","-","-"
"205御坊市","1.0","69.0","46.0","115.0","χ","χ","χ","χ","-","-","χ","χ"
"206田辺市","1.0","25.0","5.0","30.0","χ","χ","χ","-","χ","-","χ","χ"
"207新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"208紀の川市","1.0","150.0","44.0","194.0","χ","χ","χ","-","χ","-","χ","χ"
"209岩出市","2.0","87.0","27.0","114.0","χ","χ","χ","χ","-","-","χ","χ"
"304紀美野町","1.0","33.0","5.0","38.0","χ","χ","χ","-","-","-","χ","χ"
"341かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"392日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
