"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","95.0","1044.0","284.0","1328.0","512046.0","2063170.0","2824747.0","145058.0","269510.0","-","3239315.0","1065801.0"
"201和歌山市","25.0","314.0","69.0","383.0","135916.0","926165.0","1072264.0","36328.0","199793.0","-","1308385.0","347613.0"
"202海南市","6.0","62.0","13.0","75.0","16684.0","82935.0","99708.0","669.0","14000.0","-","114377.0","29330.0"
"203橋本市","5.0","17.0","13.0","30.0","5063.0","12801.0","22810.0","181.0","-","-","22991.0","9506.0"
"204有田市","-","-","-","-","-","-","-","-","-","-","-","-"
"205御坊市","6.0","79.0","44.0","123.0","30231.0","79114.0","138641.0","30.0","6588.0","-","145259.0","61319.0"
"206田辺市","11.0","142.0","34.0","176.0","76692.0","212369.0","303762.0","8860.0","3859.0","-","316481.0","86755.0"
"207新宮市","7.0","45.0","11.0","56.0","17586.0","35065.0","65665.0","-","1200.0","-","66865.0","29665.0"
"208紀の川市","7.0","137.0","40.0","177.0","133765.0","398567.0","627439.0","22134.0","-","-","649573.0","226112.0"
"209岩出市","-","-","-","-","-","-","-","-","-","-","-","-"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","3.0","34.0","7.0","41.0","12476.0","100536.0","118955.0","8600.0","-","-","127555.0","25205.0"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","3.0","38.0","7.0","45.0","14378.0","10836.0","17043.0","23097.0","1327.0","-","41467.0","28574.0"
"362広川町","2.0","11.0","3.0","14.0","χ","χ","χ","-","-","-","χ","χ"
"366有田川町","2.0","10.0","3.0","13.0","χ","χ","χ","χ","χ","-","χ","χ"
"381美浜町","2.0","18.0","13.0","31.0","χ","χ","χ","χ","χ","-","χ","χ"
"382日高町","1.0","8.0","1.0","9.0","χ","χ","χ","-","χ","-","χ","χ"
"383由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","3.0","11.0","3.0","14.0","2225.0","5108.0","6630.0","250.0","60.0","-","6940.0","1709.0"
"392日高川町","1.0","3.0","2.0","5.0","χ","χ","χ","χ","-","-","χ","χ"
"401白浜町","2.0","9.0","2.0","11.0","χ","χ","χ","-","-","-","χ","χ"
"404上富田町","2.0","31.0","3.0","34.0","χ","χ","χ","χ","-","-","χ","χ"
"406すさみ町","2.0","41.0","8.0","49.0","χ","χ","χ","χ","-","-","χ","χ"
"421那智勝浦町","2.0","11.0","3.0","14.0","χ","χ","χ","χ","χ","-","χ","χ"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","3.0","23.0","5.0","28.0","7980.0","15866.0","21826.0","-","18945.0","-","40771.0","23233.0"
