"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","408.0","3520.0","5499.0","9019.0","2018035.0","9524126.0","1.3905037E7","504997.0","561772.0","-","1.4971806E7","4793474.0"
"201和歌山市","79.0","753.0","1346.0","2099.0","398531.0","2175851.0","3105047.0","249865.0","160863.0","-","3515775.0","1219244.0"
"202海南市","17.0","114.0","116.0","230.0","51251.0","548832.0","624044.0","12979.0","136816.0","-","773839.0","206721.0"
"203橋本市","6.0","33.0","40.0","73.0","18744.0","21948.0","46569.0","1771.0","-","-","48340.0","24620.0"
"204有田市","17.0","137.0","244.0","381.0","93511.0","540207.0","800952.0","811.0","84.0","-","801847.0","240088.0"
"205御坊市","16.0","63.0","123.0","186.0","35165.0","112260.0","181647.0","1150.0","7007.0","-","189804.0","72335.0"
"206田辺市","84.0","603.0","984.0","1587.0","362314.0","1420231.0","2356589.0","55796.0","82129.0","-","2494514.0","934391.0"
"207新宮市","11.0","56.0","63.0","119.0","24336.0","95147.0","120836.0","-","24200.0","-","145036.0","46539.0"
"208紀の川市","11.0","180.0","171.0","351.0","90938.0","597372.0","701612.0","81554.0","40151.0","-","823317.0","187061.0"
"209岩出市","6.0","216.0","576.0","792.0","143210.0","571049.0","763436.0","62032.0","22867.0","-","848335.0","232052.0"
"304紀美野町","3.0","5.0","18.0","23.0","2927.0","4550.0","9270.0","-","400.0","-","9670.0","4776.0"
"341かつらぎ町","7.0","235.0","142.0","377.0","154617.0","1010108.0","1254402.0","2200.0","4055.0","-","1260657.0","177947.0"
"343九度山町","1.0","3.0","8.0","11.0","χ","χ","χ","χ","-","-","χ","χ"
"344高野町","3.0","15.0","15.0","30.0","χ","χ","χ","-","-","-","χ","χ"
"361湯浅町","16.0","78.0","111.0","189.0","52215.0","177975.0","277657.0","-","8011.0","-","285668.0","101336.0"
"362広川町","1.0","5.0","4.0","9.0","χ","χ","χ","-","-","-","χ","χ"
"366有田川町","5.0","59.0","50.0","109.0","24936.0","204330.0","231165.0","131.0","13776.0","-","245072.0","37313.0"
"381美浜町","1.0","11.0","21.0","32.0","χ","χ","χ","-","-","-","χ","χ"
"382日高町","1.0","3.0","4.0","7.0","χ","χ","χ","χ","-","-","χ","χ"
"383由良町","3.0","3.0","11.0","14.0","915.0","6083.0","6548.0","-","3850.0","-","10398.0","4025.0"
"390印南町","4.0","15.0","22.0","37.0","4008.0","18401.0","34507.0","-","-","-","34507.0","15024.0"
"391みなべ町","55.0","505.0","771.0","1276.0","314931.0","1143263.0","1935715.0","4692.0","27170.0","-","1967577.0","719931.0"
"392日高川町","3.0","69.0","41.0","110.0","29795.0","184656.0","283099.0","12735.0","10495.0","-","306329.0","105255.0"
"401白浜町","15.0","79.0","153.0","232.0","50242.0","96267.0","237631.0","516.0","6468.0","-","244615.0","134549.0"
"404上富田町","10.0","122.0","190.0","312.0","72824.0","269408.0","454995.0","12845.0","11267.0","-","479107.0","181932.0"
"406すさみ町","5.0","15.0","50.0","65.0","12470.0","71483.0","119093.0","-","-","-","119093.0","44412.0"
"421那智勝浦町","11.0","61.0","114.0","175.0","24241.0","45461.0","92384.0","420.0","1803.0","-","94607.0","47210.0"
"422太地町","4.0","13.0","17.0","30.0","4182.0","19107.0","23248.0","-","360.0","-","23608.0","4199.0"
"424古座川町","1.0","2.0","6.0","8.0","χ","χ","χ","χ","-","-","χ","χ"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","12.0","67.0","88.0","155.0","23054.0","118317.0","145455.0","2000.0","-","-","147455.0","26196.0"
